D 2023-01-06 19:41:08,746| DEBUG    | [factory.py:factory:<module>:19] - Not in REPL -> leaving logger event level as is.
D 2023-01-06 19:41:44,515| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Usercheck ok
D 2023-01-06 19:41:44,515| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Usercheck ok
I 2023-01-06 19:41:44,516| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,516| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：登录验证成功
D 2023-01-06 19:41:44,516| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：登录验证成功
I 2023-01-06 19:41:44,516| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,522| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,528| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 77
D 2023-01-06 19:41:44,528| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': '', 'password': '123456'}}
D 2023-01-06 19:41:44,529| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1001
D 2023-01-06 19:41:44,529| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1001
I 2023-01-06 19:41:44,530| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,530| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username is null
D 2023-01-06 19:41:44,531| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username is null
I 2023-01-06 19:41:44,531| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,532| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名不能为空
D 2023-01-06 19:41:44,532| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名不能为空
I 2023-01-06 19:41:44,532| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,540| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,545| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 74
D 2023-01-06 19:41:44,546| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test02', 'password': ''}}
D 2023-01-06 19:41:44,546| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1002
D 2023-01-06 19:41:44,546| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1002
I 2023-01-06 19:41:44,547| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,547| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Password is null
D 2023-01-06 19:41:44,547| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Password is null
I 2023-01-06 19:41:44,548| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,548| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：密码不能为空
D 2023-01-06 19:41:44,548| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：密码不能为空
I 2023-01-06 19:41:44,549| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,556| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,561| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 77
D 2023-01-06 19:41:44,562| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': '', 'password': ''}}
D 2023-01-06 19:41:44,563| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1001
D 2023-01-06 19:41:44,563| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1001
I 2023-01-06 19:41:44,563| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,564| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username is null
D 2023-01-06 19:41:44,564| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username is null
I 2023-01-06 19:41:44,564| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,564| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名不能为空
D 2023-01-06 19:41:44,564| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名不能为空
I 2023-01-06 19:41:44,565| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,575| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,584| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,585| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test03', 'password': '123456'}}
D 2023-01-06 19:41:44,586| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,586| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,586| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,587| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,587| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,588| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,588| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,588| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,589| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,596| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,601| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,602| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test03', 'password': '123'}}
D 2023-01-06 19:41:44,602| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,603| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,603| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,604| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,604| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Password error
E 2023-01-06 19:41:44,604| ERROR    | [asserts.py:asserts:assert_message:47] - 断言失败，Response_Message实际结果为：Username error，Response预期结果为：Password error
E 2023-01-06 19:41:44,604| ERROR    | [asserts.py:asserts:assert_message:48] - 断言用例不通过！
D 2023-01-06 19:41:44,619| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,623| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,623| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test05', 'password': '123'}}
D 2023-01-06 19:41:44,624| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,624| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,625| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,625| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,625| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,626| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,626| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,626| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,627| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,660| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,664| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,665| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': '你好', 'password': '123456'}}
D 2023-01-06 19:41:44,666| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,666| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,666| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,667| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,667| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,667| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,668| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,668| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,668| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,676| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,680| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,681| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': '123456', 'password': '123456'}}
D 2023-01-06 19:41:44,681| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,682| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,682| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,682| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,683| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,683| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,683| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,683| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,684| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,692| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,696| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,697| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test05', 'password': '12345678945647898468464'}}
D 2023-01-06 19:41:44,697| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,698| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,698| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,698| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,699| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,699| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,700| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,700| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,700| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,709| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,713| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 69
D 2023-01-06 19:41:44,714| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': '*%$', 'password': '123456'}}
D 2023-01-06 19:41:44,714| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1003
D 2023-01-06 19:41:44,715| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1003
I 2023-01-06 19:41:44,715| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,715| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Username error
D 2023-01-06 19:41:44,715| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Username error
I 2023-01-06 19:41:44,715| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,716| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名错误
D 2023-01-06 19:41:44,716| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
I 2023-01-06 19:41:44,716| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,726| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,729| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/login/ HTTP/1.1" 200 78
D 2023-01-06 19:41:44,730| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/login/', 'method': 'post', 'data': {'username': 'test15', 'password': '123456784948494848484486486486'}}
D 2023-01-06 19:41:44,731| DEBUG    | [asserts.py:asserts:assert_code:30] - Response_Code实际结果为：1004
D 2023-01-06 19:41:44,731| DEBUG    | [asserts.py:asserts:assert_code:31] - Response_Code预期结果为：1004
I 2023-01-06 19:41:44,731| INFO     | [asserts.py:asserts:assert_code:33] - 断言Code用例通过！
D 2023-01-06 19:41:44,731| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：Password error
D 2023-01-06 19:41:44,732| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：Password error
I 2023-01-06 19:41:44,732| INFO     | [asserts.py:asserts:assert_message:45] - 断言Message用例通过！
D 2023-01-06 19:41:44,732| DEBUG    | [asserts.py:asserts:assert_message:42] - Response_Message实际结果为：用户名或密码错误
D 2023-01-06 19:41:44,733| DEBUG    | [asserts.py:asserts:assert_message:43] - Response_Message预期结果为：用户名错误
E 2023-01-06 19:41:44,733| ERROR    | [asserts.py:asserts:assert_message:47] - 断言失败，Response_Message实际结果为：用户名或密码错误，Response预期结果为：用户名错误
E 2023-01-06 19:41:44,733| ERROR    | [asserts.py:asserts:assert_message:48] - 断言用例不通过！
I 2023-01-06 19:41:44,746| INFO     | [preposition_fixture.py:preposition_fixture:connect_db:31] - *********************开始关闭数据库连接*********************
D 2023-01-06 19:41:44,746| DEBUG    | [mysql.py:mysql:close_db:165] - ==============================关闭数据库成功===============================
D 2023-01-06 19:41:44,788| DEBUG    | [conf.py:conf:conf_get_db:30] - 读数据库服务器配置文件/Users/yangjingkang/PycharmProjects/YJK_api-master/confs/db.conf成功，数据库信息是{'host': '172.16.9.128', 'db': 'wa_test', 'user': 'root', 'passwd': '123456'}
I 2023-01-06 19:41:44,792| INFO     | [mysql.py:mysql:connect:28] - ===============>成功连接数据库,参数为：{'host': '172.16.9.128', 'db': 'wa_test', 'user': 'root', 'passwd': '123456'}<===================
I 2023-01-06 19:41:44,793| INFO     | [preposition_fixture.py:preposition_fixture:connect_db:30] - *********************开始数据库连接*********************
D 2023-01-06 19:41:44,796| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='成功注册用户'<=====成功
D 2023-01-06 19:41:44,798| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='test06'<=====成功
D 2023-01-06 19:41:44,800| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='注册密码为空用户'<=====成功
D 2023-01-06 19:41:44,803| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='注册确认密码为空用户'<=====成功
D 2023-01-06 19:41:44,805| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='test08'<=====成功
D 2023-01-06 19:41:44,807| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='test09'<=====成功
D 2023-01-06 19:41:44,808| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='注册两个密码不一致用户'<=====成功
D 2023-01-06 19:41:44,810| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='test10'<=====成功
D 2023-01-06 19:41:44,813| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE id=7<=====成功
D 2023-01-06 19:41:44,816| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE id=7<=====成功
D 2023-01-06 19:41:44,818| DEBUG    | [mysql.py:mysql:insert_one:44] - 执行SQL语句=====>INSERT INTO users(id, username, password) VALUES(7, 'test11', md5('123456'))<=====成功
D 2023-01-06 19:41:44,821| DEBUG    | [mysql.py:mysql:insert_one:44] - 执行SQL语句=====>INSERT INTO info(id, name) VALUES(7, '重复注册用户')<=====成功
D 2023-01-06 19:41:44,823| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='中文注册用户'<=====成功
D 2023-01-06 19:41:44,826| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='阳靖康'<=====成功
D 2023-01-06 19:41:44,828| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='特殊字符用户'<=====成功
D 2023-01-06 19:41:44,831| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='%￥#@&*'<=====成功
D 2023-01-06 19:41:44,834| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM info WHERE name='注册密码为中文'<=====成功
D 2023-01-06 19:41:44,836| DEBUG    | [mysql.py:mysql:delete_one:94] - 执行SQL语句=====>DELETE FROM users WHERE username='test12'<=====成功
D 2023-01-06 19:41:44,841| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,850| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/signup/ HTTP/1.1" 200 59
D 2023-01-06 19:41:44,851| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/signup/', 'method': 'post', 'json': {'username': 'test06', 'password': '123456', 'confirm': '123456', 'name': '成功注册用户'}}
D 2023-01-06 19:41:44,852| DEBUG    | [asserts.py:asserts:asserts:18] - Response实际结果为：{'Status': 1000, 'Result': 'Success', 'Message': '注册成功'}
D 2023-01-06 19:41:44,852| DEBUG    | [asserts.py:asserts:asserts:19] - Response预期结果为：{'Status': 1000, 'Result': 'Success', 'Message': '注册成功'}
I 2023-01-06 19:41:44,853| INFO     | [asserts.py:asserts:asserts:21] - 断言用例通过！
D 2023-01-06 19:41:44,856| DEBUG    | [mysql.py:mysql:asserts_db:152] - 验库的预期结果：(1, 1)
D 2023-01-06 19:41:44,856| DEBUG    | [mysql.py:mysql:asserts_db:153] - 验库的实际结果：(1, 1)
I 2023-01-06 19:41:44,856| INFO     | [mysql.py:mysql:asserts_db:155] - 验证数据库用例通过！
D 2023-01-06 19:41:44,867| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,870| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/signup/ HTTP/1.1" 200 92
D 2023-01-06 19:41:44,871| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/signup/', 'method': 'post', 'json': {'username': '', 'password': '123456', 'confirm': '123456', 'name': '注册用户名为空用户'}}
D 2023-01-06 19:41:44,872| DEBUG    | [asserts.py:asserts:asserts:18] - Response实际结果为：{'Status': 1001, 'Result': 'Username is null', 'Message': '注册失败，用户名不能为空'}
D 2023-01-06 19:41:44,873| DEBUG    | [asserts.py:asserts:asserts:19] - Response预期结果为：{'Status': 1001, 'Result': 'Username is null', 'Message': '注册失败，用户名不能为空'}
I 2023-01-06 19:41:44,873| INFO     | [asserts.py:asserts:asserts:21] - 断言用例通过！
D 2023-01-06 19:41:44,875| DEBUG    | [mysql.py:mysql:asserts_db:152] - 验库的预期结果：(0, 0)
D 2023-01-06 19:41:44,875| DEBUG    | [mysql.py:mysql:asserts_db:153] - 验库的实际结果：(0, 0)
I 2023-01-06 19:41:44,875| INFO     | [mysql.py:mysql:asserts_db:155] - 验证数据库用例通过！
D 2023-01-06 19:41:44,885| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,889| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/signup/ HTTP/1.1" 200 89
D 2023-01-06 19:41:44,890| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/signup/', 'method': 'post', 'json': {'username': 'test07', 'password': '', 'confirm': '123456', 'name': '注册密码为空用户'}}
D 2023-01-06 19:41:44,891| DEBUG    | [asserts.py:asserts:asserts:18] - Response实际结果为：{'Status': 1002, 'Result': 'Password is null', 'Message': '注册失败，密码不能为空'}
D 2023-01-06 19:41:44,892| DEBUG    | [asserts.py:asserts:asserts:19] - Response预期结果为：{'Status': 1002, 'Result': 'Password is null', 'Message': '注册失败，密码不能为空'}
I 2023-01-06 19:41:44,893| INFO     | [asserts.py:asserts:asserts:21] - 断言用例通过！
D 2023-01-06 19:41:44,895| DEBUG    | [mysql.py:mysql:asserts_db:152] - 验库的预期结果：(0, 0)
D 2023-01-06 19:41:44,895| DEBUG    | [mysql.py:mysql:asserts_db:153] - 验库的实际结果：(0, 0)
I 2023-01-06 19:41:44,895| INFO     | [mysql.py:mysql:asserts_db:155] - 验证数据库用例通过！
D 2023-01-06 19:41:44,907| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,915| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/signup/ HTTP/1.1" 200 103
D 2023-01-06 19:41:44,916| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/signup/', 'method': 'post', 'json': {'username': 'test08', 'password': '123456', 'confirm': '', 'name': '注册确认密码为空用户'}}
D 2023-01-06 19:41:44,917| DEBUG    | [asserts.py:asserts:asserts:18] - Response实际结果为：{'Status': 1003, 'Result': 'Confirm password is null', 'Message': '注册失败，确认密码不能为空'}
D 2023-01-06 19:41:44,917| DEBUG    | [asserts.py:asserts:asserts:19] - Response预期结果为：{'Status': 1003, 'Result': 'Confirm password is null', 'Message': '注册失败，确认密码不能为空'}
I 2023-01-06 19:41:44,918| INFO     | [asserts.py:asserts:asserts:21] - 断言用例通过！
D 2023-01-06 19:41:44,919| DEBUG    | [mysql.py:mysql:asserts_db:152] - 验库的预期结果：(1, 1)
D 2023-01-06 19:41:44,920| DEBUG    | [mysql.py:mysql:asserts_db:153] - 验库的实际结果：(1, 1)
I 2023-01-06 19:41:44,920| INFO     | [mysql.py:mysql:asserts_db:155] - 验证数据库用例通过！
D 2023-01-06 19:41:44,928| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): 172.16.9.128:80
D 2023-01-06 19:41:44,930| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://172.16.9.128:80 "POST /apitest/signup/ HTTP/1.1" 200 85
D 2023-01-06 19:41:44,931| DEBUG    | [requeststart.py:requeststart:send_request:22] - 发起请求的参数为：{'url': 'http://172.16.9.128:80/apitest/signup/', 'method': 'post', 'json': {'username': 'test09', 'password': '123456', 'confirm': '123456', 'name': ''}}
D 2023-01-06 19:41:44,932| DEBUG    | [asserts.py:asserts:asserts:18] - Response实际结果为：{'Status': 1004, 'Result': 'Name is null', 'Message': '注册失败，姓名不能为空'}
